PUID,Action,Timestamp,Status,ServiceName,Metadata,RetryCount,ErrorDetails,_metadata_spanner_mod_type,_metadata_spanner_table_name,_metadata_spanner_commit_timestamp,_metadata_spanner_server_transaction_id,_metadata_spanner_record_sequence,_metadata_spanner_is_last_record_in_transaction_in_partition,_metadata_spanner_number_of_records_in_transaction,_metadata_spanner_number_of_partitions_in_transaction,_metadata_big_query_commit_timestamp,UserId,Source,TransactionId,Processed
c9fa999f,UPDATE_STATUS,2025-01-07 08:09:39.669 UTC,COMPLETED,PaymentService,"""{}""",0,"",INSERT,payment_audit_trail,2025-01-07 08:09:39.678175 UTC,NDYwMjQwNzM3MzM0OTc2NTE4NA==,00000000,true,1,1,2025-01-07 08:09:41.135053 UTC,,,,
d0010a5b,PROCESS_PAYMENT,2025-01-07 08:09:36.366 UTC,COMPLETED,PaymentService,"""Payment processed successfully!""",0,"",INSERT,payment_audit_trail,2025-01-07 08:09:36.375503 UTC,MTM0ODc0ODIxNzM5MDg0MjQ0OTg=,00000000,true,1,1,2025-01-07 08:09:41.179095 UTC,,,,
8e03751a,UPDATE_STATUS,2025-01-07 08:09:35.506 UTC,COMPLETED,TransactionService,"""{}""",0,"",INSERT,payment_audit_trail,2025-01-07 08:09:35.516303 UTC,MTEwOTcxNzg5ODkzMjM1OTcyNTc=,00000000,true,1,1,2025-01-07 08:09:41.189567 UTC,,,,
494c90cd,PROCESS_PAYMENT,2025-01-07 08:09:43.548 UTC,COMPLETED,PaymentService,"""Payment processed successfully!""",0,"",INSERT,payment_audit_trail,2025-01-07 08:09:43.557151 UTC,NTQyNjgxMTI2ODIxNTA0NDAzOQ==,00000000,true,1,1,2025-01-07 08:09:46.901719 UTC,,,,
af92824a,SAVE_TRANSACTION,2025-01-07 08:09:55.688 UTC,PENDING,TransactionService,"{""amount"":932.0,""puid"":""af92824a"",""userId"":""User-af92824a""}",0,"",INSERT,payment_audit_trail,2025-01-07 08:09:55.696831 UTC,MjUxMDQzNDI2NjQwMDEwNTMw,00000000,true,1,1,2025-01-07 08:09:59.143005 UTC,,,,
fb2c2be2,UPDATE_STATUS,2025-01-07 08:09:52.742 UTC,COMPLETED,PaymentService,"""{}""",0,"",INSERT,payment_audit_trail,2025-01-07 08:09:52.750031 UTC,NTQ4OTY1MjU0MDE5MjA0MjY4NA==,00000000,true,1,1,2025-01-07 08:09:59.143015 UTC,,,,
fb2c2be2,UPDATE_STATUS,2025-01-07 08:09:55.868 UTC,COMPLETED,TransactionService,"""{}""",0,"",INSERT,payment_audit_trail,2025-01-07 08:09:55.876223 UTC,MTY5NjEyNzM3ODk5NjAxMDUzNA==,00000000,true,1,1,2025-01-07 08:09:59.318282 UTC,,,,
039dabde,PROCESS_PAYMENT,2025-01-07 08:09:57.675 UTC,COMPLETED,PaymentService,"""Payment processed successfully!""",0,"",INSERT,payment_audit_trail,2025-01-07 08:09:57.683759 UTC,MTI2OTg4MDY3Nzg2MDk2NTQ4MzE=,00000000,true,1,1,2025-01-07 08:09:59.318291 UTC,,,,
303dbb53,PROCESS_PAYMENT,2025-01-07 08:09:53.717 UTC,COMPLETED,PaymentService,"""Payment processed successfully!""",0,"",INSERT,payment_audit_trail,2025-01-07 08:09:53.729487 UTC,NjQyMjAyNjIxODEyMDYxODEyNw==,00000000,true,1,1,2025-01-07 08:09:59.318298 UTC,,,,
b3c0df0f,UPDATE_STATUS,2025-01-07 08:10:00.887 UTC,COMPLETED,PaymentService,"""{}""",0,"",INSERT,payment_audit_trail,2025-01-07 08:10:00.895663 UTC,NDAxMjgzNjgzMTQ0NTcyMDE2Ng==,00000000,true,1,1,2025-01-07 08:10:05.17787 UTC,,,,
